央视频道,#genre#
CCTV1,https://pi.0472.org/itv/CCTV-1H265.m3u8
CCTV2,https://pi.0472.org/itv/CCTV-2H265.m3u8
CCTV3,https://pi.0472.org/itv/CCTV-3H265.m3u8
CCTV4,https://pi.0472.org/itv/CCTV-4H265.m3u8
CCTV5,https://pi.0472.org/itv/CCTV-5H265.m3u8
CCTV5+,https://pi.0472.org/itv/CCTV-5plusH265.m3u8
CCTV6,https://pi.0472.org/itv/CCTV-6H265.m3u8
CCTV7,https://pi.0472.org/itv/CCTV-7H265.m3u8
CCTV8,https://pi.0472.org/itv/CCTV-8H265.m3u8
CCTV9,https://pi.0472.org/itv/CCTV-9H265.m3u8
CCTV10,https://pi.0472.org/itv/CCTV-10H265.m3u8
CCTV11,https://pi.0472.org/itv/CCTV-11-H265.m3u8
CCTV12,https://pi.0472.org/itv/CCTV-12H265.m3u8
CCTV13,https://pi.0472.org/itv/CCTV-xw.m3u8
CCTV14,https://pi.0472.org/itv/CCTV-14H265.m3u8
CCTV15,https://pi.0472.org/itv/CCTV-15-yyH265.m3u8
CCTV16,https://pi.0472.org/itv/CCTV-16.m3u8
CCTV16,https://pi.0472.org/itv/CCTV-16-4K_8000.m3u8
CCTV17,https://pi.0472.org/itv/CCTV-17.m3u8
CCTV4,https://pi.0472.org/itv/ys4Kcq_2000.m3u8
4K超高清电影,https://pi.0472.org/itv/emdy4k_8000.m3u8
欢笑剧场,https://pi.0472.org/itv/hxjc-4k_8000.m3u8
CHC动作电影,https://pi.0472.org/itv/wqCHCdzdyH265.m3u8
CHC影迷电影,https://pi.0472.org/itv/lnwsCHC-HDH265.m3u8
CHC家庭影院,https://pi.0472.org/itv/jbtygqCHCjtyyH265.m3u8
重温经典,https://pi.0472.org/itv/CWJD.m3u8

卫视频道,#genre#
凤凰中文,https://pi.0472.org/itv/test1.m3u8
凤凰资讯,https://pi.0472.org/itv/test2.m3u8
安徽卫视,https://pi.0472.org/itv/ahwsH265.m3u8
北京卫视,https://pi.0472.org/itv/bjwsH265.m3u8
兵团卫视,https://pi.0472.org/itv/btws.m3u8
重庆卫视,https://pi.0472.org/itv/cqwsH265.m3u8
东方卫视,https://pi.0472.org/itv/dfwsH265.m3u8
东南卫视,https://pi.0472.org/itv/dnwsfjwsH265.m3u8
甘肃卫视,https://pi.0472.org/itv/gsws.m3u8
广东卫视,https://pi.0472.org/itv/gdwsH265.m3u8
广西卫视,https://pi.0472.org/itv/gxws.m3u8
贵州卫视,https://pi.0472.org/itv/gzwsH265.m3u8
海南卫视,https://pi.0472.org/itv/hnws.m3u8
河南卫视,https://pi.0472.org/itv/hnws35.m3u8
黑龙江卫视,https://pi.0472.org/itv/hljwsH265.m3u8
湖北卫视,https://pi.0472.org/itv/hbwsH265.m3u8
湖南卫视,https://pi.0472.org/itv/hnwsH265.m3u8
吉林卫视,https://pi.0472.org/itv/jlwsH265.m3u8
江苏卫视,https://pi.0472.org/itv/jswsH265.m3u8
江西卫视,https://pi.0472.org/itv/jxwsH265.m3u8
康巴卫视,https://pi.0472.org/itv/kbwsH264_2000.m3u8
辽宁卫视,https://pi.0472.org/itv/lnwsHDH265.m3u8
内蒙古卫视,https://pi.0472.org/itv/nmgws.m3u8
山东教育卫视,https://pi.0472.org/itv/sdjy.m3u8
山东卫视,https://pi.0472.org/itv/sdwsH265.m3u8
山西卫视,https://pi.0472.org/itv/sxws42.m3u8
陕西卫视,https://pi.0472.org/itv/sxws.m3u8
深圳卫视,https://pi.0472.org/itv/szwsH265.m3u8
四川卫视,https://pi.0472.org/itv/scwsH265.m3u8
天津卫视,https://pi.0472.org/itv/tjwsH265.m3u8
西藏卫视,https://pi.0472.org/itv/xzwsH264_2000.m3u8
云南卫视,https://pi.0472.org/itv/ynws.m3u8
浙江卫视,https://pi.0472.org/itv/zjwsH265.m3u8
CETV1,https://pi.0472.org/itv/CETV-1H264.m3u8

